Player Number,Player  ,GM  ,KI  ,MK  ,HB  ,DI  ,DA  ,GL  ,BH  ,HO  ,TK  ,RB  ,IF  ,CL  ,CG  ,FF  ,FA  ,BR  ,CP  ,UP  ,CM  ,MI  ,1%  ,BO  ,GA  ,%P  ,SU  ,Team Name
47,Buller  Jack,1,1,2,1,2,2,,,,2,,,,,,,,,2,,,1,,,55,0/1,Sydney 
11,Kelly  Tim,22,288,75,333,621,28.23,10,6,,104,42,108,130,117,22,29,11,295,325,3,3,17,13,20,82.1,,West Coast
14,Duggan  Liam,22,365,167,159,524,23.82,1,1,,63,104,74,33,77,11,22,,113,357,5,1,40,17,7,84.9,,West Coast
3,Gaff  Andrew,23,210,90,250,460,20,3,4,,66,33,49,33,55,17,18,,128,339,2,9,18,4,6,83.7,1/0,West Coast
23,Witherden  Alex,22,304,117,140,444,20.18,1,,,50,124,30,10,46,21,15,,104,261,2,,66,12,4,83.8,,West Coast
5,Hunt  Jayden,23,283,125,147,430,18.7,7,8,,54,77,60,24,57,8,9,,105,325,2,4,38,14,7,89.4,,West Coast
4,Sheed  Dom,15,184,84,182,366,24.4,5,4,,47,31,34,63,63,14,20,6,122,256,,1,8,1,6,81.1,,West Coast
32,Williams  Bailey,23,130,44,165,295,12.83,5,3,634,79,19,56,97,82,40,37,1,205,107,16,6,47,1,2,81.8,,West Coast
25,Hurn  Shannon,13,202,70,70,272,20.92,,,,25,74,19,4,22,5,7,,46,136,3,,29,8,2,73.9,,West Coast
12,Allen  Oscar,23,170,113,68,238,10.35,53,23,4,37,9,34,4,29,29,11,,99,142,31,52,53,,8,89.7,,West Coast
7,Ginbey  Reuben,17,86,25,147,233,13.71,1,2,,101,22,34,42,53,9,21,,115,127,3,1,22,1,4,69.8,0/2,West Coast
19,Hough  Brady,15,138,85,88,226,15.07,,,,19,29,13,6,19,13,4,,52,170,5,1,24,,1,84.8,,West Coast
31,Jones  Jamaine,13,142,47,84,226,17.38,4,2,,27,34,36,16,37,9,4,3,71,157,,2,8,7,5,71.6,1-Feb,West Coast
21,Petruccelle  Jack,18,114,46,108,222,12.33,10,7,,55,11,48,36,32,12,9,,100,128,2,5,20,11,7,69.8,1/0,West Coast
44,Long  Noah,19,99,46,111,210,11.05,7,10,,48,3,32,19,30,9,9,,94,120,2,7,10,2,11,78.1,,West Coast
27,Darling  Jack,20,129,80,75,204,10.2,26,19,33,51,1,32,12,30,17,13,,94,110,23,30,32,1,8,92.6,0/1,West Coast
13,Shuey  Luke,10,105,20,93,198,19.8,2,2,,48,11,32,44,36,19,20,2,82,119,,,11,8,7,58.4,0/3,West Coast
28,Cole  Tom,12,108,67,86,194,16.17,1,,,29,34,14,5,31,8,12,,54,150,2,1,20,2,1,74.1,1-Jan,West Coast
8,Hewett  Elijah,14,88,28,100,188,13.43,4,7,,24,18,26,34,37,6,11,,84,102,,4,10,,1,63.4,2/0,West Coast
24,ONeill  Xavier,15,100,37,82,182,12.13,4,5,,60,12,34,24,36,12,16,,64,117,1,4,15,,2,75.1,1/0,West Coast
37,Barrass  Tom,14,115,93,66,181,12.93,,,2,6,38,3,,25,8,12,,68,114,25,,133,1,,95.8,,West Coast
10,Petrevski-Seton  Sam,13,94,35,83,177,13.62,3,3,,43,11,19,14,17,6,3,,74,108,2,5,10,,8,73.4,0/1,West Coast
6,Yeo  Elliot,10,115,34,59,174,17.4,1,,,34,40,28,30,27,9,5,,65,86,4,,28,6,1,65.8,1-Jan,West Coast
18,Chesser  Campbell,14,80,33,83,163,11.64,,4,,27,13,20,14,37,5,9,,44,128,1,1,10,2,1,73.1,1-Feb,West Coast
16,Edwards  Luke,14,86,42,73,159,11.36,,,,37,10,12,24,18,9,9,,50,111,,1,9,1,1,69.1,1-Feb,West Coast
2,Waterman  Jake,11,112,71,46,158,14.36,11,9,26,23,8,23,4,30,11,10,2,45,111,7,18,16,,3,87.3,,West Coast
15,Cripps  Jamie,12,88,40,69,157,13.08,16,12,,55,2,22,13,27,4,7,3,52,113,1,18,9,4,8,83.5,,West Coast
20,McGovern  Jeremy,9,110,64,42,152,16.89,,,,9,41,4,1,19,6,5,,40,89,9,,42,1,,73.1,0/1,West Coast
39,Clark  Greg,12,59,31,75,134,11.17,2,3,1,26,10,12,7,30,4,12,,33,102,1,1,8,,,69.3,5/0,West Coast
35,Rotham  Josh,13,102,68,28,130,10,,,9,18,32,12,,34,7,17,,27,111,2,1,42,,3,82.7,1/0,West Coast
29,Foley  Luke,9,72,41,42,114,12.67,,,,20,14,12,4,19,6,6,,28,86,1,,25,,1,83.2,0/1,West Coast
41,Maric  Ryan,10,45,28,55,100,10,9,2,,26,2,19,2,10,10,2,,39,66,4,7,10,,3,79.9,,West Coast
33,Bazzo  Rhett,11,41,34,54,95,8.64,,,,8,13,5,1,21,4,12,,33,65,4,,27,1,,68,2-Jan,West Coast
36,West  Connor,9,40,16,52,92,10.22,3,5,,17,4,10,11,18,11,5,,47,43,1,1,4,1,1,69.7,1-Jan,West Coast
34,Williams  Jack,10,35,24,34,69,6.9,5,4,31,16,2,10,9,11,3,2,,26,43,4,6,19,,2,66.4,0/2,West Coast
49,Culley  Jai,5,14,8,28,42,8.4,5,2,,15,,5,3,12,3,4,,20,22,3,3,3,,1,64.4,0/1,West Coast
40,Jamieson  Callum,4,14,7,25,39,9.75,,1,23,8,2,1,11,10,4,4,,26,14,,1,7,,,72.8,0/1,West Coast
1,Ryan  Liam,3,30,15,9,39,13,4,1,,11,,10,1,9,4,3,,12,25,2,3,1,3,2,81,,West Coast
26,Trew  Zane,4,15,3,21,36,9,1,,,8,2,6,8,9,,4,,22,17,,,3,1,,46.8,3/0,West Coast
42,Edwards  Harry,2,12,7,4,16,8,,,,2,4,,,8,,2,,9,8,2,,18,,,90.5,,West Coast
30,Barnett  Harry,1,,,2,2,2,,,1,1,,,,,,,,,2,,,,,,9,1/0,West Coast
4,Bontempelli  Marcus,23,370,101,266,636,27.65,19,14,1,172,42,131,175,97,27,33,29,332,339,12,17,91,6,21,84.9,,Western Bulldogs
21,Liberatore  Tom,21,266,59,308,574,27.33,8,9,,141,33,84,167,63,18,20,17,304,271,1,5,30,,16,78.1,0/1,Western Bulldogs
31,Dale  Bailey,23,393,92,180,573,24.91,2,2,,42,93,57,21,63,9,15,3,131,341,5,1,50,6,4,83.3,,Western Bulldogs
11,Macrae  Jack,22,239,82,318,557,25.32,7,2,,97,34,86,90,41,25,12,,220,339,1,2,31,1,13,78.6,0/1,Western Bulldogs
1,Treloar  Adam,19,253,54,304,557,29.32,13,5,,100,32,75,108,72,21,11,4,224,327,,2,17,9,8,78.4,0/1,Western Bulldogs
35,Daniel  Caleb,23,295,100,242,537,23.35,10,6,,88,63,71,75,52,13,11,2,164,368,2,2,29,13,10,80.5,,Western Bulldogs
6,Smith  Bailey,19,230,62,217,447,23.53,4,8,,66,30,69,69,55,9,11,4,149,300,1,1,20,5,5,82.5,,Western Bulldogs
44,English  Tim,23,258,145,182,440,19.13,16,4,717,100,43,74,74,83,42,34,11,211,253,29,13,98,8,6,85.9,,Western Bulldogs
20,Richards  Ed,19,292,107,111,403,21.21,1,3,,36,111,34,11,65,8,21,,121,249,7,,59,23,1,82.6,0/1,Western Bulldogs
34,Williams  Bailey,23,215,116,165,380,16.52,11,9,,60,38,52,35,41,8,13,1,95,285,4,13,20,3,7,78.4,1/0,Western Bulldogs
33,Naughton  Aaron,23,180,100,87,267,11.61,44,33,22,59,4,43,5,55,29,20,2,157,118,41,57,51,1,22,86.4,,Western Bulldogs
13,Baker  Oskar,18,191,86,73,264,14.67,6,9,,22,20,63,14,44,4,10,,53,222,,6,29,12,9,71.8,2-Jan,Western Bulldogs
2,Ugle-Hagan  Jamarra,23,188,120,73,261,11.35,35,35,1,22,,58,,59,19,14,5,115,155,31,62,20,1,14,83.5,,Western Bulldogs
15,Duryea  Taylor,20,147,84,93,240,12,,1,,40,48,24,5,43,18,16,,74,163,6,,52,4,,79.1,,Western Bulldogs
28,Scott  Anthony,22,132,53,105,237,10.77,12,6,,55,9,45,16,28,15,4,,93,150,7,10,23,,6,74,1-Jan,Western Bulldogs
42,Keath  Alex,18,128,92,89,217,12.06,,,,29,37,17,3,36,8,12,,70,152,8,,75,5,1,84.8,0/2,Western Bulldogs
39,Johannisen  Jason,11,150,54,58,208,18.91,5,1,,16,34,23,3,23,4,6,,38,144,2,2,14,6,3,74.7,0/1,Western Bulldogs
7,Lobb  Rory,20,112,65,94,206,10.3,24,18,156,35,8,27,18,33,19,9,1,103,111,20,30,56,,9,85.2,0/1,Western Bulldogs
3,Weightman  Cody,19,139,54,59,198,10.42,34,18,,52,6,38,10,38,22,13,2,97,102,9,28,23,1,10,76.5,,Western Bulldogs
19,Jones  Liam,18,129,89,37,166,9.22,,,,16,57,11,1,26,7,11,,60,107,13,,129,,1,90.1,0/2,Western Bulldogs
23,Vandermeer  Laitham,11,87,30,60,147,13.36,2,4,,28,20,33,8,22,3,6,,38,112,,3,20,,3,74.8,0/1,Western Bulldogs
14,West  Rhylee,12,62,29,75,137,11.42,7,6,,42,,23,10,22,5,8,,51,88,3,5,17,,11,68.8,2/0,Western Bulldogs
25,Poulter  Caleb,9,68,24,65,133,14.78,3,1,,24,4,19,7,18,4,5,,40,97,1,1,12,2,5,75.7,,Western Bulldogs
32,Jones  Arthur,13,47,17,52,99,7.62,4,8,,35,1,20,3,24,9,13,,42,65,1,4,10,6,4,69.9,1/0,Western Bulldogs
18,ODonnell  James,12,60,34,39,99,8.25,1,2,,9,15,9,4,20,2,3,,37,61,7,2,41,2,3,71.8,0/4,Western Bulldogs
43,Gardner  Ryan,10,61,36,28,89,8.9,1,,,15,21,6,3,23,5,10,,34,59,3,,100,,,96.9,,Western Bulldogs
17,Bruce  Josh,8,43,36,40,83,10.38,,,,11,16,2,,25,7,12,,31,56,3,,39,1,,88.6,0/1,Western Bulldogs
30,McNeil  Lachlan,13,28,12,52,80,6.15,2,4,,30,,13,6,6,3,2,,38,44,1,2,14,,2,41.6,8-Jan,Western Bulldogs
22,OBrien  Tim,7,63,36,17,80,11.43,,,,9,21,10,1,6,5,1,,22,58,1,,37,,1,80,,Western Bulldogs
9,Crozier  Hayden,4,36,19,18,54,13.5,,1,,6,13,2,1,8,4,1,,13,39,,,10,1,,65.5,,Western Bulldogs
16,McLean  Toby,6,10,8,39,49,8.17,,,,14,2,5,9,9,1,5,,18,35,,1,3,,1,44.5,2-Jan,Western Bulldogs
29,Hannan  Mitch,6,29,14,14,43,7.17,3,4,,13,1,14,,10,4,5,,19,25,,5,5,,1,62.3,2-Jan,Western Bulldogs
38,Garcia  Riley,3,12,2,19,31,10.33,1,,,9,,3,3,12,1,4,,13,16,,1,2,,,62.7,1/0,Western Bulldogs
27,McComb  Robbie,3,7,4,6,13,4.33,1,,,2,,2,1,3,1,2,,6,9,1,,2,,,34.7,2/0,Western Bulldogs
10,Darcy  Sam,3,7,2,3,10,3.33,,2,11,8,3,,1,6,,6,,8,3,2,,5,,,46,0/1,Western Bulldogs
36,Cleary  Luke,1,5,2,3,8,8,,,,1,4,,1,,,,,2,7,,,6,,,76,,Western Bulldogs
24,Khamis  Buku,1,3,1,3,6,6,,,2,1,,,,3,,3,,3,4,,1,1,,2,66,,Western Bulldogs
