Player Number,Player  ,GM  ,KI  ,MK  ,HB  ,DI  ,DA  ,GL  ,BH  ,HO  ,TK  ,RB  ,IF  ,CL  ,CG  ,FF  ,FA  ,BR  ,CP  ,UP  ,CM  ,MI  ,1%  ,BO  ,GA  ,%P  ,SU  ,Team Name
28,Witts  Jarrod,21,151,51,139,290,13.81,4,2,824,55,15,42,91,59,31,26,,180,117,14,3,59,,3,82.8,,Gold Coast 
4,Ellis  Brandon,16,195,86,93,288,18,7,8,,37,14,46,26,29,4,7,,86,203,4,5,15,4,5,84.9,,Gold Coast 
25,Collins  Sam,23,176,127,104,280,12.17,,,,37,58,17,6,37,14,9,,127,153,17,,210,,,97.1,,Gold Coast 
19,Humphrey  Bailey,19,148,32,88,236,12.42,11,12,,49,11,57,27,44,12,9,,129,107,6,9,9,1,10,67.6,1-Feb,Gold Coast 
7,Holman  Nick,19,101,48,132,233,12.26,13,8,,84,7,31,14,45,13,21,,115,125,7,12,26,1,14,82.2,,Gold Coast 
30,Casboult  Levi,20,138,95,57,195,9.75,24,11,93,29,5,34,18,66,9,26,,93,98,30,31,43,,10,84.4,0/1,Gold Coast 
14,Weller  Lachie,9,138,61,56,194,21.56,,2,,15,43,23,6,23,4,7,2,41,130,1,1,12,4,4,79.8,0/1,Gold Coast 
31,Andrew  Mac,17,148,88,39,187,11,,,,24,47,18,6,45,9,20,,66,120,19,,70,1,,84.5,,Gold Coast 
41,Rosas  Malcolm,19,109,38,68,177,9.32,19,17,,42,3,30,10,27,9,9,,80,96,1,9,12,7,6,66.3,1-Jan,Gold Coast 
22,Long  Ben,15,114,42,57,171,11.4,,1,,34,47,11,11,51,4,22,,73,89,5,,48,2,2,80.9,,Gold Coast 
34,King  Ben,20,112,67,46,158,7.9,40,21,,9,,28,2,35,24,13,7,95,69,23,46,21,1,6,84.7,0/1,Gold Coast 
5,Davies  Alex,9,60,15,69,129,14.33,1,3,,39,5,21,24,31,7,12,,74,61,2,1,17,,3,70.1,,Gold Coast 
36,Hollands  Elijah,9,72,23,42,114,12.67,3,2,,23,13,15,9,32,3,8,,44,73,1,1,5,1,1,72.4,0/3,Gold Coast 
23,Lemmens  Sean,11,83,38,22,105,9.55,,1,,19,36,3,6,20,8,9,,39,69,5,1,22,1,,70.5,0/2,Gold Coast 
50,Farrar  Jy,9,48,21,29,77,8.56,1,1,,17,17,13,1,19,10,6,,40,39,3,2,19,4,,52.2,4/0,Gold Coast 
47,Oea  Hewago,8,41,11,30,71,8.88,3,1,,20,1,19,11,14,2,3,,32,35,,1,9,,1,66.1,0/3,Gold Coast 
40,Jeffrey  Joel,7,54,16,13,67,9.57,5,4,,23,15,10,2,10,4,2,,22,37,2,2,11,1,2,64.7,0/1,Gold Coast 
1,Chol  Mabior,8,49,28,12,61,7.63,10,7,25,14,3,13,7,20,4,5,,31,33,5,12,12,,2,75.6,,Gold Coast 
33,Constable  Charlie,2,36,12,9,45,22.5,,,,2,16,5,2,8,1,1,,7,28,,,6,1,,83.5,,Gold Coast 
6,Sexton  Alex,8,29,14,14,43,5.38,5,4,,5,4,9,,9,2,5,,11,33,,4,2,2,3,50.9,5/0,Gold Coast 
16,Berry  Tom,6,24,10,16,40,6.67,,2,,19,1,11,2,11,4,6,,19,23,,3,5,,4,57,1-Feb,Gold Coast 
35,Budarick  Connor,2,29,10,6,35,17.5,,,,5,8,4,1,4,4,2,,6,21,,,4,1,,80,,Gold Coast 
32,Uwland  Bodhi,3,19,5,6,25,8.33,,,,3,9,2,2,6,2,2,,7,12,,,7,,,54.3,1/0,Gold Coast 
38,Johnston  Lloyd,2,16,4,8,24,12,,,,3,2,3,,4,,,,9,12,1,,5,,,60,0/1,Gold Coast 
12,Day  Sam,3,13,10,6,19,6.33,1,1,2,5,,3,,5,1,2,,11,8,5,4,4,,,71,0/1,Gold Coast 
21,Tsitas  James,4,10,8,9,19,4.75,3,,,4,1,3,,2,,1,,5,14,,2,,,1,27,4/0,Gold Coast 
49,Moyle  Ned,2,6,,3,9,4.5,,,53,10,2,2,3,3,,3,,7,2,,,3,,,77.5,,Gold Coast 
29,Burgess  Chris,1,3,1,2,5,5,,2,3,,,1,,,1,,,3,2,,,2,,1,79,,Gold Coast 
3,Coniglio  Stephen,25,397,80,310,707,28.28,15,16,,116,29,120,135,106,23,32,10,244,444,1,11,26,9,21,82.7,,Gold Coast 
12,Green  Tom,22,312,75,393,705,32.05,9,1,,111,48,100,134,114,15,23,16,329,374,1,6,16,3,10,85.5,,Gold Coast 
6,Whitfield  Lachie,24,407,139,240,647,26.96,1,1,,57,132,72,18,81,15,23,5,147,402,6,2,44,9,7,79.8,,Gold Coast 
7,Ash  Lachie,26,403,140,220,623,23.96,2,1,,40,139,57,18,83,8,15,,110,447,5,2,51,43,5,81.2,,Gold Coast 
22,Kelly  Josh,22,286,64,306,592,26.91,16,8,,97,34,102,89,79,18,13,8,237,356,1,6,25,7,7,83.7,,Gold Coast 
8,Ward  Callan,25,243,71,248,491,19.64,11,12,,70,31,83,86,71,27,19,3,195,300,5,11,24,4,15,73.9,2-Jan,Gold Coast 
27,Himmelberg  Harry,25,291,121,165,456,18.24,12,7,21,44,115,50,27,65,15,25,,129,277,16,11,91,10,13,80.8,,Gold Coast 
39,Idun  Connor,26,225,142,220,445,17.12,,,,48,98,23,5,38,16,9,1,152,295,8,,149,11,1,88.7,,Gold Coast 
