Player Number,Player  ,Team Name,GM  ,KI  ,MK  ,HB  ,DI  ,DA  ,GL  ,,,,,,,,,,,,,,,,,,,
40,Ford  Eddie,North Melbourne,14,92,66,103,195,13.93,12,,,,,,,,,,,,,,,,,,,
19,Logue  Griffin,North Melbourne,15,105,76,82,187,12.47,1,,,,,,,,,,,,,,,,,,,
10,Cunnington  Ben,North Melbourne,9,62,20,116,178,19.78,3,,,,,,,,,,,,,,,,,,,
15,Howe  Daniel,North Melbourne,11,107,40,53,160,14.55,2,,,,,,,,,,,,,,,,,,,
31,Goater  Josh,North Melbourne,10,79,46,61,140,14,,,,,,,,,,,,,,,,,,,,
43,Hall  Aaron,North Melbourne,6,103,35,37,140,23.33,,,,,,,,,,,,,,,,,,,,
27,Bergman  Miller,North Melbourne,12,86,42,51,137,11.42,,,,,,,,,,,,,,,,,,,,
6,Wardlaw  George,North Melbourne,8,58,18,59,117,14.63,1,,,,,,,,,,,,,,,,,,,
28,Turner  Kayne,North Melbourne,12,60,36,55,115,9.58,2,,,,,,,,,,,,,,,,,,,
38,Xerri  Tristan,North Melbourne,9,30,9,73,103,11.44,3,,,,,,,,,,,,,,,,,,,
21,Coleman-Jones  Callum,North Melbourne,9,41,27,41,82,9.11,4,,,,,,,,,,,,,,,,,,,
30,Comben  Charlie,North Melbourne,7,28,17,27,55,7.86,4,,,,,,,,,,,,,,,,,,,
35,Lazzaro  Charlie,North Melbourne,6,15,6,38,53,8.83,,,,,,,,,,,,,,,,,,,,
39,Perez  Flynn,North Melbourne,5,32,17,21,53,10.6,1,,,,,,,,,,,,,,,,,,,
17,Young  Lachie,North Melbourne,4,26,16,26,52,13,,,,,,,,,,,,,,,,,,,,
34,Archer  Jackson,North Melbourne,5,24,12,18,42,8.4,,,,,,,,,,,,,,,,,,,,
36,Spicer  Phoenix,North Melbourne,6,18,6,21,39,6.5,1,,,,,,,,,,,,,,,,,,,
41,Drury  Blake,North Melbourne,4,14,5,15,29,7.25,,,,,,,,,,,,,,,,,,,,
37,Harvey  Cooper,North Melbourne,3,17,11,11,28,9.33,1,,,,,,,,,,,,,,,,,,,
1,Mahony  Jack,North Melbourne,2,12,8,13,25,12.5,,,,,,,,,,,,,,,,,,,,
